,Brand,Model,Color,GB,ROM,Battery,Price
0,POCO,POCO C71 ,Cool Blue,128,128,5200 mAh,"6,799"
1,Samsung,Samsung Galaxy F06 5G ,Bahama Blue,64,64,5000 mAh,"7,499"
2,POCO,POCO M7 Pro 5G ,Lunar Dust,128,128,5110 mAh,"11,499"
3,POCO,POCO C71 ,Desert Gold,64,64,5200 mAh,"6,199"
4,POCO,POCO M7 5G ,Ocean Blue,128,128,5160 mAh,"8,499"
5,Samsung,Samsung Galaxy F06 5G ,Bahama Blue,128,128,5000 mAh,"7,999"
6,Samsung,Samsung Galaxy F06 5G ,Bahama Blue,128,128,5000 mAh,"8,999"
7,POCO,POCO M7 5G  - Locked with Airtel Prepaid ,Satin Black,128,128,5160 mAh,"7,849"
8,POCO,POCO M7 5G ,Mint Green,128,128,5160 mAh,"9,499"
9,OPPO,OPPO K13x 5G 6000mAh and 45W SUPERVOOC Charger & AI ,Breeze Blue,128,128,6000 mAh,"12,999"
10,Motorola,Motorola g45 5G ,Brilliant Green,128,128,5000 mAh,"11,999"
11,POCO,POCO M7 5G ,Mint Green,128,128,5160 mAh,"8,499"
12,OPPO,OPPO K13x 5G 6000mAh and 45W SUPERVOOC Charger & AI ,Midnight Violet,128,128,6000 mAh,"12,999"
13,POCO,POCO C71 ,Power Black,128,128,5200 mAh,"6,799"
14,OPPO,OPPO K13x 5G 6000mAh and 45W SUPERVOOC Charger & AI ,Sunset Peach,128,128,6000 mAh,"11,999"
15,Samsung,Samsung Galaxy F06 5G ,Lit Violet,64,64,5000 mAh,"7,499"
16,POCO,POCO M7 Pro 5G ,Lavender Frost,128,128,5110 mAh,"11,499"
17,MOTOROLA,MOTOROLA g35 5G ,Guava Red,128,128,5000 mAh,"9,999"
18,POCO,POCO C71 ,Power Black,64,64,5200 mAh,"6,199"
19,POCO,POCO C75 5G ,Enchanted Green,64,64,5160 mAh,"7,299"
20,POCO,POCO M7 Pro 5G ,Lunar Dust,256,256,5110 mAh,"13,499"
21,POCO,POCO X7 5G ,Yellow,128,128,5500 mAh,"14,999"
22,MOTOROLA,MOTOROLA G96 5G ,Pantone Greener Pastures,128,128,5500 mAh,"17,999"
23,Ai+,Ai+ Pulse ,Blue,64,64,5000 mAh,"5,499"
